Symbol,Period,Total Asset,TotalLiabilities('000 Baht),Paid-upCap('000 Baht),Equity('000 Baht),Revenue('000 Baht),Expenses('000 Baht),EBITDA('000 Baht),EBIT('000 Baht),Net Profit('000 Baht),EPS**(Baht),Operating Cash Flow('000 Baht),Investing Cash Flow('000 Baht),Financing Cash Flow('000 Baht),Net Cash Flow('000 Baht),Return onEquity+(%),Return onAsset+(%),Gross ProfitMargin(%),Net ProfitMargin(%),EBIT Margin(%),D/E(Times),Int. Coverage(Times),Current Ratio(Times),Quick Ratio(Times),FixedAssetTurnover+(Times),TotalAssetTurnover+(Times),Inventory Turnover+(Times),Average Sale Period+(Days),Accounts Receivable Turnover+(Times),Average Collection Period+(Days),Account Payable Turnover+(Times),Average Payment Period+(Days),Cash Cycle+(Days),Equity Multiplier,Period
Anan,Q2/2017,"26,146,622.00","14,350,059.00","333,300.00","11,796,563.00","3,751,728.00","3,232,850.00","550,229.00","518,878.00","279,465.00",0.07,"-344,695.00","-742,106.00","746,124.00","-340,677.00",14.46,9.31,37.07,7.45,13.83,1.22,4.97,2.27,0.26,18.22,0.53,0.65,562.29,70.41,5.18,8.19,44.54,522.93,2.22,2017Q2
Anan,Q3/2017,"27,019,308.00","15,040,670.00","333,300.00","11,686,085.00","2,758,662.00","2,469,679.00","321,602.00","288,983.00","140,944.00",0.03,"-3,112,579.00","393,700.00","1,997,197.00","-721,682.00",13.48,8.42,35.17,5.11,10.48,1.29,3.23,2.32,0.23,14.05,0.5,0.61,597.95,35.07,10.41,7.05,51.78,556.58,2.31,2017Q3
Anan,Q4/2017,"29,869,575.89","16,409,769.05","333,300.00","12,396,315.16","4,125,438.17","3,194,507.48","963,979.02","930,930.70","767,697.49",0.21,"-5,688,731.09","108,319.27","5,461,071.62","-119,340.20",11.48,7.19,34.45,18.61,22.57,1.32,220.23,2.76,0.39,15.09,0.47,0.63,582.8,17.22,21.2,6.38,57.24,546.76,2.41,2017Q4
Anan,Q1/2018,"35,727,393.00","22,174,207.00","333,300.00","12,489,694.00","2,820,513.00","2,534,355.00","322,476.00","286,158.00","144,739.00",0.03,"-2,388,830.00","-2,369,106.00","5,932,837.00","1,174,901.00",10.95,6.42,33.8,5.13,10.15,1.78,3.12,2.52,0.57,16.25,0.43,0.57,638.75,33.54,10.88,6.82,53.5,596.13,2.86,2018Q1
Anan,Q2/2018,"35,504,085.00","21,641,738.00","333,300.00","12,798,855.00","2,964,314.00","2,279,223.00","723,554.00","685,091.00","584,018.00",0.16,"-3,906,053.00","-1,118,978.00","4,546,466.00","-478,565.00",13.31,7.11,29.61,19.7,23.11,1.69,7.54,2.51,0.22,16.26,0.41,0.53,692.47,31.86,11.46,7.48,48.78,655.14,2.77,2018Q2
Anan,Q3/2018,"40,124,816.00","23,243,834.00","333,300.00","14,828,476.00","3,679,602.00","2,593,320.00","1,117,580.00","1,086,282.00","979,583.00",0.28,"-6,858,163.00","-1,012,466.00","8,229,890.00","359,261.00",18.68,8.9,29.48,26.62,29.52,1.57,12.71,2.4,0.48,17.67,0.4,0.53,685.77,6.91,52.86,5.22,69.86,668.77,2.71,2018Q3
Anan,Q4/2018,"41,573,145.06","23,584,161.81","333,300.00","15,955,240.44","3,497,444.92","2,694,136.21","840,362.94","803,308.71","711,087.08",0.18,"-7,559,787.21","164,486.02","10,045,811.76","2,650,510.57",17.07,8.01,26.75,20.33,22.97,1.48,8,2.22,0.45,17.22,0.36,0.45,803.55,10.77,33.89,4.83,75.55,761.89,2.61,2018Q4
Anan,Q1/2019,"43,012,326.00","23,658,793.00","333,300.00","17,279,937.00","1,822,256.00","1,830,981.00","27,781.00","-8,725.00","232,335.00",0.04,"-1,643,313.00","225,482.00","1,129,249.00","-288,582.00",16.84,6.52,29.95,12.75,-0.48,1.37,-0.08,2.46,0.44,16.42,0.3,0.37,983.05,15.61,23.39,5.14,71.02,935.41,2.49,2019Q1
Anan,Q2/2019,"48,496,792.00","29,558,292.00","333,300.00","16,816,613.00","2,291,864.00","2,005,596.00","331,913.00","286,268.00","119,782.00",0.01,"-5,064,371.00","-1,513,599.00","5,712,000.00","-865,970.00",13.8,6.04,24.59,5.23,12.49,1.76,2.02,2.02,0.38,17.33,0.28,0.31,"1,192.83",15.32,23.82,3.98,91.8,"1,124.85",2.88,2019Q2
Anan,Q3/2019,"52,291,824.00","33,853,169.00","333,300.00","16,638,796.00","3,037,483.00","2,632,223.00","448,328.00","405,260.00","234,002.00",0.04,"-6,538,774.00","-2,649,671.00","8,797,055.00","-391,390.00",8.24,4.02,27.31,7.7,13.34,2.03,2.34,2.01,0.46,16.64,0.24,0.29,"1,238.76",4.74,77.07,2.66,137.19,"1,178.64",3.14,2019Q3
